ChEMBL ID,DrugBank ID,Name,ATC code(s),ATC therapeutic group,ATC status,pKa (acidic),SMILES,pKa (basic),pKa (exp.)_1,pKa (exp.)_2,pKa_comment,logP (pred.),logP (exp.),DyeLeS score,Fluorescent,First approval (year),Oral,MW,TPSA,HBD,HBA,lipinski_violations,lipinski_pass,ABCB1_Pgp_CHEMBL
CHEMBL32,DB00218,Moxifloxacin,J01MA14; S01AE07,Противомикробные (системные),Success,5.49,[H][C@]12CN(C[C@@]1([H])NCCC2)C1=C(F)C=C2C(=O)C(=CN(C3CC3)C2=C1OC)C(O)=O,9.51,,,,0.01,2.9,0.1480742506,False,1999.0,1.0,401.44,83.8,2.0,5.0,0,True,
CHEMBL1450,DB01117,Atovaquone,P01AX06,Противопаразитарные препараты,Success,5.53,OC1=C([C@H]2CC[C@@H](CC2)C2=CC=C(Cl)C=C2)C(=O)C2=CC=CC=C2C1=O,-5.3,,,,4.74,5.8,-0.3545776345,False,1992.0,1.0,366.84,54.37,1.0,3.0,0,True,
CHEMBL267648,DB00487,Pefloxacin,J01MA03,Противомикробные (системные),Success,5.55,CCN1C=C(C(O)=O)C(=O)C2=CC(F)=C(C=C12)N1CCN(C)CC1,7.01,,,,0.2,0.27,1.562826283,True,,,333.36,65.78,1.0,4.0,0,True,
CHEMBL8,DB00537,Ciprofloxacin,S01AE03; S02AA15; S03AA07; J01MA02,Органы чувств,Success,5.56,OC(=O)C1=CN(C2CC2)C2=CC(N3CCNCC3)=C(F)C=C2C1=O,8.77,6.09,,06.09,-0.57,0.28,1.505916663,True,1987.0,1.0,331.35,74.57,2.0,4.0,0,True,inhibitor; interaction
CHEMBL850,DB01208,Sparfloxacin,J01MA09,Противомикробные (системные),Success,5.56,C[C@H]1CN(C[C@@H](C)N1)C1=C(F)C(N)=C2C(=O)C(=CN(C3CC3)C2=C1F)C(O)=O,8.88,,,,-0.07,2.5,0.1806627026,False,1996.0,1.0,392.41,100.59,3.0,5.0,0,True,interaction
CHEMBL1464,DB00682,Warfarin,B01AA03,Кровь и органы кроветворения,Success,5.56,CC(=O)CC(C1=CC=CC=C1)C1=C(O)C2=C(OC1=O)C=CC=C2,-6.9,5.0,,5.0,2.41,2.7,-0.944481273,False,1954.0,1.0,308.33,67.51,1.0,4.0,0,True,substrate
CHEMBL9,DB01059,Norfloxacin,J01MA06; S01AE02,Противомикробные (системные),Success,5.58,CCN1C=C(C(O)=O)C(=O)C2=CC(F)=C(C=C12)N1CCNCC1,8.77,,,,-0.47,-1.03,1.65028672,True,1986.0,1.0,319.34,74.57,2.0,4.0,0,True,
CHEMBL316160,DB14018,Bromotheophylline,R03DA20,Дыхательная система,No ATC,5.58,CN1C2=C(NC(Br)=N2)C(=O)N(C)C1=O,-3.0,5.45,,5.45,0.23,,-1.43997135,False,,,259.06,72.68,1.0,3.0,0,True,
CHEMBL1324,DB00323,Tolcapone,N04BX01,Нервная система,Success,5.59,CC1=CC=C(C=C1)C(=O)C1=CC(=C(O)C(O)=C1)[N+]([O-])=O,-6.5,,,,2.63,4.0,0.01515820431,False,1997.0,1.0,273.24,100.67,2.0,5.0,0,True,
CHEMBL232201,DB13277,Benziodarone,C01DX04; C01DX54,Сердечно-сосудистая система,Success,5.61,CCC1=C(C(=O)C2=CC(I)=C(O)C(I)=C2)C2=CC=CC=C2O1,-3.0,,,,5.8,,-0.1534905657,False,,0.0,518.09,50.44,1.0,3.0,2,False,
CHEMBL2105637,DB11943,Delafloxacin,J01MA23,Противомикробные (системные),Success,5.62,NC1=NC(N2C=C(C(O)=O)C(=O)C3=CC(F)=C(N4CC(O)C4)C(Cl)=C23)=C(F)C=C1F,-1.3,,,,1.67,,1.495514032,True,2017.0,1.0,440.77,121.68,3.0,6.0,0,True,
CHEMBL1465,DB00946,Phenprocoumon,B01AA04,Кровь и органы кроветворения,Success,5.67,CCC(C1=CC=CC=C1)C1=C(O)C2=C(OC1=O)C=CC=C2,-6.9,,,,3.81,3.62,-0.6338463008,False,1957.0,1.0,280.32,50.44,1.0,3.0,0,True,
CHEMBL583,DB00365,Grepafloxacin,J01MA11,Противомикробные (системные),Success,5.68,CC1CN(CCN1)C1=C(F)C(C)=C2C(=O)C(=CN(C3CC3)C2=C1)C(O)=O,8.86,,,,-0.12,2.9,-0.08945559977,False,1997.0,1.0,359.4,74.57,2.0,4.0,0,True,interaction
